,지자체,위반유형,발생건수
0,강동구,안전운전불이행,16.0
1,동대문구,안전운전불이행,19.0
2,동작구,안전운전불이행,20.0
3,마포구,안전운전불이행,53.0
4,서초구,안전운전불이행,40.0
5,성동구,안전운전불이행,19.0
6,성북구,안전운전불이행,6.0
7,영등포구,안전운전불이행,13.0
8,강북구,안전운전불이행,9.0
9,용산구,안전운전불이행,8.0
10,은평구,안전운전불이행,12.0
11,종로구,안전운전불이행,6.0
12,중랑구,안전운전불이행,19.0
13,강서구,안전운전불이행,22.0
14,관악구,안전운전불이행,22.0
15,광진구,안전운전불이행,42.0
16,구로구,안전운전불이행,14.0
17,노원구,안전운전불이행,18.0
18,도봉구,안전운전불이행,9.0
19,강남구,안전운전불이행,124.0
20,서대문구,안전운전불이행,10.0
21,송파구,안전운전불이행,64.0
22,양천구,안전운전불이행,12.0
23,중구,안전운전불이행,11.0
24,금천구,안전운전불이행,5.0
25,강동구,신호위반,2.0
26,동대문구,신호위반,6.0
27,동작구,신호위반,2.0
28,마포구,신호위반,7.0
29,서초구,신호위반,4.0
30,성동구,신호위반,5.0
31,성북구,신호위반,2.0
32,영등포구,신호위반,6.0
33,강북구,신호위반,3.0
34,용산구,신호위반,0.0
35,은평구,신호위반,6.0
36,종로구,신호위반,1.0
37,중랑구,신호위반,5.0
38,강서구,신호위반,3.0
39,관악구,신호위반,4.0
40,광진구,신호위반,7.0
41,구로구,신호위반,2.0
42,노원구,신호위반,2.0
43,도봉구,신호위반,2.0
44,강남구,신호위반,10.0
45,서대문구,신호위반,3.0
46,송파구,신호위반,8.0
47,양천구,신호위반,1.0
48,중구,신호위반,3.0
49,금천구,신호위반,1.0
50,강동구,안전거리미확보,0.0
51,동대문구,안전거리미확보,2.0
52,동작구,안전거리미확보,0.0
53,마포구,안전거리미확보,1.0
54,서초구,안전거리미확보,0.0
55,성동구,안전거리미확보,0.0
56,성북구,안전거리미확보,1.0
57,영등포구,안전거리미확보,1.0
58,강북구,안전거리미확보,0.0
59,용산구,안전거리미확보,0.0
60,은평구,안전거리미확보,0.0
61,종로구,안전거리미확보,0.0
62,중랑구,안전거리미확보,2.0
63,강서구,안전거리미확보,0.0
64,관악구,안전거리미확보,0.0
65,광진구,안전거리미확보,0.0
66,구로구,안전거리미확보,1.0
67,노원구,안전거리미확보,0.0
68,도봉구,안전거리미확보,0.0
69,강남구,안전거리미확보,2.0
70,서대문구,안전거리미확보,0.0
71,송파구,안전거리미확보,1.0
72,양천구,안전거리미확보,1.0
73,중구,안전거리미확보,1.0
74,금천구,안전거리미확보,0.0
75,강동구,불법유턴,0.0
76,동대문구,불법유턴,0.0
77,동작구,불법유턴,2.0
78,마포구,불법유턴,3.0
79,서초구,불법유턴,4.0
80,성동구,불법유턴,0.0
81,성북구,불법유턴,1.0
82,영등포구,불법유턴,1.0
83,강북구,불법유턴,1.0
84,용산구,불법유턴,0.0
85,은평구,불법유턴,0.0
86,종로구,불법유턴,1.0
87,중랑구,불법유턴,1.0
88,강서구,불법유턴,0.0
89,관악구,불법유턴,0.0
90,광진구,불법유턴,0.0
91,구로구,불법유턴,0.0
92,노원구,불법유턴,2.0
93,도봉구,불법유턴,0.0
94,강남구,불법유턴,4.0
95,서대문구,불법유턴,2.0
96,송파구,불법유턴,2.0
97,양천구,불법유턴,0.0
98,중구,불법유턴,0.0
99,금천구,불법유턴,0.0
100,강동구,중앙선침범,0.0
101,동대문구,중앙선침범,0.0
102,동작구,중앙선침범,1.0
103,마포구,중앙선침범,1.0
104,서초구,중앙선침범,3.0
105,성동구,중앙선침범,1.0
106,성북구,중앙선침범,1.0
107,영등포구,중앙선침범,5.0
108,강북구,중앙선침범,3.0
109,용산구,중앙선침범,1.0
110,은평구,중앙선침범,2.0
111,종로구,중앙선침범,1.0
112,중랑구,중앙선침범,0.0
113,강서구,중앙선침범,0.0
114,관악구,중앙선침범,2.0
115,광진구,중앙선침범,0.0
116,구로구,중앙선침범,6.0
117,노원구,중앙선침범,3.0
118,도봉구,중앙선침범,1.0
119,강남구,중앙선침범,10.0
120,서대문구,중앙선침범,0.0
121,송파구,중앙선침범,2.0
122,양천구,중앙선침범,0.0
123,중구,중앙선침범,1.0
124,금천구,중앙선침범,1.0
125,강동구,기타,0.0
126,동대문구,기타,0.0
127,동작구,기타,0.0
128,마포구,기타,2.0
129,서초구,기타,0.0
130,성동구,기타,0.0
131,성북구,기타,0.0
132,영등포구,기타,0.0
133,강북구,기타,0.0
134,용산구,기타,4.0
135,은평구,기타,0.0
136,종로구,기타,2.0
137,중랑구,기타,0.0
138,강서구,기타,0.0
139,관악구,기타,0.0
140,광진구,기타,0.0
141,구로구,기타,0.0
142,노원구,기타,0.0
143,도봉구,기타,0.0
144,강남구,기타,0.0
145,서대문구,기타,0.0
146,송파구,기타,0.0
147,양천구,기타,0.0
148,중구,기타,0.0
149,금천구,기타,1.0
150,강동구,교차로운행방법위반,0.0
151,동대문구,교차로운행방법위반,0.0
152,동작구,교차로운행방법위반,1.0
153,마포구,교차로운행방법위반,0.0
154,서초구,교차로운행방법위반,1.0
155,성동구,교차로운행방법위반,2.0
156,성북구,교차로운행방법위반,0.0
157,영등포구,교차로운행방법위반,0.0
158,강북구,교차로운행방법위반,0.0
159,용산구,교차로운행방법위반,0.0
160,은평구,교차로운행방법위반,3.0
161,종로구,교차로운행방법위반,0.0
162,중랑구,교차로운행방법위반,1.0
163,강서구,교차로운행방법위반,1.0
164,관악구,교차로운행방법위반,1.0
165,광진구,교차로운행방법위반,0.0
166,구로구,교차로운행방법위반,1.0
167,노원구,교차로운행방법위반,1.0
168,도봉구,교차로운행방법위반,0.0
169,강남구,교차로운행방법위반,3.0
170,서대문구,교차로운행방법위반,2.0
171,송파구,교차로운행방법위반,1.0
172,양천구,교차로운행방법위반,0.0
173,중구,교차로운행방법위반,0.0
174,금천구,교차로운행방법위반,0.0
175,강동구,보행자보호의무위반,1.0
176,동대문구,보행자보호의무위반,0.0
177,동작구,보행자보호의무위반,1.0
178,마포구,보행자보호의무위반,2.0
179,서초구,보행자보호의무위반,4.0
180,성동구,보행자보호의무위반,0.0
181,성북구,보행자보호의무위반,0.0
182,영등포구,보행자보호의무위반,0.0
183,강북구,보행자보호의무위반,0.0
184,용산구,보행자보호의무위반,0.0
185,은평구,보행자보호의무위반,0.0
186,종로구,보행자보호의무위반,0.0
187,중랑구,보행자보호의무위반,0.0
188,강서구,보행자보호의무위반,2.0
189,관악구,보행자보호의무위반,0.0
190,광진구,보행자보호의무위반,2.0
191,구로구,보행자보호의무위반,0.0
192,노원구,보행자보호의무위반,0.0
193,도봉구,보행자보호의무위반,0.0
194,강남구,보행자보호의무위반,1.0
195,서대문구,보행자보호의무위반,0.0
196,송파구,보행자보호의무위반,0.0
197,양천구,보행자보호의무위반,0.0
198,중구,보행자보호의무위반,1.0
199,금천구,보행자보호의무위반,0.0
200,강동구,직진우회전진행방해,0.0
201,동대문구,직진우회전진행방해,0.0
202,동작구,직진우회전진행방해,0.0
203,마포구,직진우회전진행방해,0.0
204,서초구,직진우회전진행방해,0.0
205,성동구,직진우회전진행방해,0.0
206,성북구,직진우회전진행방해,0.0
207,영등포구,직진우회전진행방해,0.0
208,강북구,직진우회전진행방해,0.0
209,용산구,직진우회전진행방해,0.0
210,은평구,직진우회전진행방해,0.0
211,종로구,직진우회전진행방해,0.0
212,중랑구,직진우회전진행방해,0.0
213,강서구,직진우회전진행방해,0.0
214,관악구,직진우회전진행방해,0.0
215,광진구,직진우회전진행방해,2.0
216,구로구,직진우회전진행방해,0.0
217,노원구,직진우회전진행방해,0.0
218,도봉구,직진우회전진행방해,0.0
219,강남구,직진우회전진행방해,0.0
220,서대문구,직진우회전진행방해,0.0
221,송파구,직진우회전진행방해,0.0
222,양천구,직진우회전진행방해,0.0
223,중구,직진우회전진행방해,0.0
224,금천구,직진우회전진행방해,1.0
